Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Sex,Event,Equipment,Division,WeightClassKg
1,Natalya Chernovtsan,Наталья Черновцан,1981,40.5,80,40,105,225,F,SBD,Single-ply,Open,44
1,Svetlana Krasnobryzhaya,Светлана Краснобрыжая,1960,47.75,100,60,110,260,F,SBD,Single-ply,Open,48
2,Marina Greblya,Марина Гребля,1974,47.75,75,37.5,120,232.5,F,SBD,Single-ply,Open,48
1,Natalya Ship,Наталья Шип,1976,51.9,140,65,130,335,F,SBD,Single-ply,Open,52
2,Lyudmila Osmanova,Людмила Османова,1976,52,110,90,127.5,327.5,F,SBD,Single-ply,Open,52
3,Yuliya Gordienko,Юлия Гордиенко,1972,50.85,85,60,120,265,F,SBD,Single-ply,Open,52
4,Elena Vovchenko,Елена Вовченко,1976,51.8,85,40,117.5,242.5,F,SBD,Single-ply,Open,52
5,Natalya Kovtun,Наталья Ковтун,1979,52,67.5,32.5,92.5,192.5,F,SBD,Single-ply,Open,52
DQ,Liliya Prots,Лилия Проць,1974,51.25,,,,,F,SBD,Single-ply,Open,52
1,Lyudmila Starova,Людмила Старова,1970,55.3,150,85,175,410,F,SBD,Single-ply,Open,56
2,Nadezhda Matsek,Надежда Мацек,1971,55.75,117.5,67.5,142.5,327.5,F,SBD,Single-ply,Open,56
DQ,Elena Bespartochnaya,Елена Беспарточная,1974,56,,,,,F,SBD,Single-ply,Open,56
1,Svetlana Poplavskaya,Светлана Поплавская,1966,56.25,127.5,80,150,357.5,F,SBD,Single-ply,Open,60
2,Lyudmila Gagarina,Людмила Гагарина,1978,56.55,95,52.5,102.5,250,F,SBD,Single-ply,Open,60
1,Lina Yashchuk,Лина Ящук,1972,60.7,105,62.5,130,297.5,F,SBD,Single-ply,Open,67.5
2,Elena Pilipenko,Елена Пилипенко,1977,62.85,95,55,115,265,F,SBD,Single-ply,Open,67.5
3,Svetlana Kashul,Светлана Кашул,1978,61.1,95,50,110,255,F,SBD,Single-ply,Open,67.5
1,Viktoriya Posmitnaya,Виктория Посмитная,1966,70.3,130,75,132.5,337.5,F,SBD,Single-ply,Open,75
1,Anna Ganenko,Анна Ганенко,1975,81.5,155,100,160,415,F,SBD,Single-ply,Open,82.5
1,Anzhela Torskaya,Анжела Торская,1977,95,115,65,127.5,307.5,F,SBD,Single-ply,Open,90+
2,Tamara Denezhkina,Тамара Денежкина,1960,103.75,105,65,122.5,292.5,F,SBD,Single-ply,Open,90+
1,Mikhail Kerestey,Михаил Керестей,1978,51.8,150,92.5,155,397.5,M,SBD,Single-ply,Open,52
1,Nikolay Tonyan,Николай Тонян,1968,55.9,197.5,120,200,517.5,M,SBD,Single-ply,Open,56
2,Ruslan Borukh,Руслан Борух,1971,55.7,140,110,140,390,M,SBD,Single-ply,Open,56
1,Sergey Vatyuk,Сергей Ватюк,1962,59.1,205,135,210,545,M,SBD,Single-ply,Open,60
2,Anatoliy Bochkovskiy,Анатолий Бочковский,1954,60,190,100,230,520,M,SBD,Single-ply,Open,60
3,Grigoriy Sarkisyan,Григорий Саркисян,1963,60,180,105,210,495,M,SBD,Single-ply,Open,60
4,Igor Yasenetskiy,Игорь Ясенецкий,1966,59.15,185,95,190,470,M,SBD,Single-ply,Open,60
1,Yuriy Vernichenko,Юрий Верниченко,1962,63.6,195,130,195,520,M,SBD,Single-ply,Open,67.5
2,Vitaliy Chernukha,Виталий Чернуха,1965,67,180,120,205,505,M,SBD,Single-ply,Open,67.5
3,Andrey Zabozhnyy,Андрей Забожный,1978,66.7,195,105,200,495,M,SBD,Single-ply,Open,67.5
