Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Squat4Kg,Best3BenchKg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Sex,Event,Equipment,Division,WeightClassKg
1,Yana Petrenko,Яна Петренко,1981,33.6,60,,32.5,75,,167.5,F,SBD,Single-ply,Juniors,44
1,Natalya Kiev,Наталья Киев,1974,47.1,80,,50,112.5,,242.5,F,SBD,Single-ply,Juniors,48
2,Elena Lapina,Елена Лапина,1972,47.15,70,,40,110,,220,F,SBD,Single-ply,Juniors,48
1,Viktoriya Shapoval,Виктория Шаповал,1973,50.9,107.5,,67.5,115,,290,F,SBD,Single-ply,Juniors,52
2,Elena Besportochnaya,Елена Беспорточная,1974,50.6,77.5,,63,125,,267.5,F,SBD,Single-ply,Juniors,52
3,Natalya Dmitrieva,Наталья Дмитриева,1971,50.15,85,,50,105,,240,F,SBD,Single-ply,Juniors,52
1,Nadezhda Matsek,Надежда Мацек,1971,55.2,125,,57.5,132.5,,315,F,SBD,Single-ply,Juniors,56
2,Natalya Gudymenko,Наталья Гудыменко,1976,54.1,105,,45,105,,255,F,SBD,Single-ply,Juniors,56
3,Ekaterina Pirgat,Екатерина Пиргат,1974,53.2,85,,45,100,,230,F,SBD,Single-ply,Juniors,56
1,Yaroslava Furduy,Ярослава Фурдуй,1971,58.2,135,,67.5,160,,362.5,F,SBD,Single-ply,Juniors,60
2,Elena Miroshnichenko,Елена Мирошниченко,1970,58.4,120,,60,135,,315,F,SBD,Single-ply,Juniors,60
3,Irina Timofeeva,Ирина Тимофеева,1973,59.9,110,,55,115,,280,F,SBD,Single-ply,Juniors,60
4,Oksana Tertyshnik,Оксана Тертышник,1977,59.25,85,,35,120,,240,F,SBD,Single-ply,Juniors,60
1,Anna Turanskaya,Анна Туранская,1972,63,120,,75,145,,340,F,SBD,Single-ply,Juniors,67.5
2,Svetlana Konobritskaya,Светлана Конобрицкая,1971,66.3,112.5,,57.5,140,,310,F,SBD,Single-ply,Juniors,67.5
3,Vitalina Lishchishina,Виталина Лищишина,1976,64.2,110,,60,125,,295,F,SBD,Single-ply,Juniors,67.5
1,Irina Trifonova,Ирина Трифонова,1976,71.75,122.5,,67.5,145,,335,F,SBD,Single-ply,Juniors,75
2,Elena Chinnova,Елена Чиннова,1970,74.9,125,,55,155,,335,F,SBD,Single-ply,Juniors,75
3,Larisa Zhukova,Лариса Жукова,1973,68,100,,65,110,,275,F,SBD,Single-ply,Juniors,75
4,Elena Grazhdan,Елена Граждан,1977,72.15,100,,42.5,125,,267.5,F,SBD,Single-ply,Juniors,75
1,Aleksandr Gromov,Александр Громов,1975,51.85,150,,95,175,,420,M,SBD,Single-ply,Juniors,52
2,Sergey Latyshev,Сергей Латышев,1977,50.6,105,,75,135,,315,M,SBD,Single-ply,Juniors,52
3,Radomir Shcherbakov,Радомир Щербаков,1979,47.9,107.5,,77.5,115,,300,M,SBD,Single-ply,Juniors,52
4,Oleg Yaroshenko,Олег Ярошенко,1976,48.6,90,,70,135,,295,M,SBD,Single-ply,Juniors,52
5,Dmitriy Yanchukov,Дмитрий Янчуков,1977,51.8,100,,65,110,,275,M,SBD,Single-ply,Juniors,52
6,Roman Saliy,Роман Салий,1980,46.1,97.5,,45,95,,237.5,M,SBD,Single-ply,Juniors,52
1,Stepan Ovcharenko,Степан Овчаренко,1976,55.8,185,,105,210,,500,M,SBD,Single-ply,Juniors,56
2,Dmitriy Krakhmal,Дмитрий Крахмаль,1975,54.5,150,,92.5,165,,407.5,M,SBD,Single-ply,Juniors,56
3,Roman Galitskiy,Роман Галицкий,1975,55,137.5,,90,177.5,,405,M,SBD,Single-ply,Juniors,56
4,Andrey Lagoda,Андрей Лагода,1974,56,135,,80,145,,360,M,SBD,Single-ply,Juniors,56
5,Aleksandr Devyatyy,Александр Девятый,1977,52.4,115,,62.5,132.5,,300,M,SBD,Single-ply,Juniors,56
1,Vitaliy Morozov,Виталий Морозов,1976,57,150,,112.5,200,,462.5,M,SBD,Single-ply,Juniors,60
2,Evgeniy Tayts,Евгений Тайц,1974,60,172.5,,110,180,,462.5,M,SBD,Single-ply,Juniors,60
3,Nikolay Shkurinskiy,Николай Шкуринский,1976,58.2,160,,95,200,,455,M,SBD,Single-ply,Juniors,60
4,Sergey Labutin,Сергей Лабутин,1974,58.3,155,,95,180,,430,M,SBD,Single-ply,Juniors,60
5,Andrey Krikun,Андрей Крикун,1974,59.2,150,,100,180,,430,M,SBD,Single-ply,Juniors,60
6,Igor Tokarchuk,Игорь Токарчук,1971,60,145,,95,180,,420,M,SBD,Single-ply,Juniors,60
1,Oleg Krasnozhon,Олег Красножон,1970,66.9,210,,120,232.5,,562.5,M,SBD,Single-ply,Juniors,67.5
2,Stanislav Pryakhin,Станислав Пряхин,1975,67,185,,117.5,217.5,,512.5,M,SBD,Single-ply,Juniors,67.5
3,Sergey Verbitskiy,Сергей Вербицкий,1970,67.1,177.5,,120,215,,512.5,M,SBD,Single-ply,Juniors,67.5
4,Evgeniy Lanskoy,Евгений Ланской,1974,66.75,195,,107.5,205,,507.5,M,SBD,Single-ply,Juniors,67.5
5,Nikolay Visitskiy,Николай Висицкий,1972,66.8,167.5,,127.5,212.5,,507.5,M,SBD,Single-ply,Juniors,67.5
6,Sergey Odarich,Сергей Одарич,1970,67.35,182.5,,115,190,,487.5,M,SBD,Single-ply,Juniors,67.5
7,Aleksandr Burekhin,Александр Бурехин,1977,67.25,190,,100,195,,485,M,SBD,Single-ply,Juniors,67.5
8,Oleg Ocheretnyuk,Олег Очеретнюк,1972,67.1,170,,120,180,,470,M,SBD,Single-ply,Juniors,67.5
9,Igor Tuznitskiy,Игорь Тузницкий,1974,66.6,172.5,,110,180,,462.5,M,SBD,Single-ply,Juniors,67.5
10,Vitaliy Nerenenya,Виталий Нерененя,1971,66.6,140,,112.5,190,,442.5,M,SBD,Single-ply,Juniors,67.5
11,Aleksey Bykov,Алексей Быков,1976,66.6,160,,100,175,,435,M,SBD,Single-ply,Juniors,67.5
12,Roman Chebotarev,Роман Чеботарев,1977,64.5,175,,87.5,177.5,,427.5,M,SBD,Single-ply,Juniors,67.5
13,Nikolay Pyanchuk,Николай Пьянчук,1973,67,130,,90,185,,405,M,SBD,Single-ply,Juniors,67.5
14,Sergey Anikin,Сергей Аникин,1974,64.5,130,,95,170,,395,M,SBD,Single-ply,Juniors,67.5
DQ,Ruslan Drobovich,Руслан Дробович,1974,62.8,,,,,,,M,SBD,Single-ply,Juniors,67.5
1,Dmitriy Solovev,Дмитрий Соловьев,1970,73.15,245,,170.5,245,,660,M,SBD,Single-ply,Juniors,75
2,Rinat Zaripov,Ринат Зарипов,1970,74,230,,162.5,260,,652.5,M,SBD,Single-ply,Juniors,75
3,Oleg Molokoedov,Олег Молокоедов,1970,73.55,217.5,,167.5,260,,645,M,SBD,Single-ply,Juniors,75
4,Viktor Khurudzhi,Виктор Хуруджи,1975,73.5,235,,150,225,,610,M,SBD,Single-ply,Juniors,75
5,Vladimir Tkachenko,Владимир Ткаченко,1974,74.55,215,,120,220,,555,M,SBD,Single-ply,Juniors,75
6,Viktor Nesmachnyy,Виктор Несмачный,1972,71.7,200,,145,190,,535,M,SBD,Single-ply,Juniors,75
7,Aleksey Dmitriev,Алексей Дмитриев,1974,71.4,190,,130,210,,530,M,SBD,Single-ply,Juniors,75
8,Igor Ivanchenko,Игорь Иванченко,1975,72,180,,122.5,227.5,,530,M,SBD,Single-ply,Juniors,75
9,Mikhail Rozhenko,Михаил Роженко,1974,70.9,200,,115,210,,525,M,SBD,Single-ply,Juniors,75
10,Andrey Timerbek,Андрей Тимербек,1974,74.2,190,,110,220,,520,M,SBD,Single-ply,Juniors,75
11,Evgeniy Ivanov,Евгений Иванов,1972,74,185,,115,215,,515,M,SBD,Single-ply,Juniors,75
12,Sergey Goginava,Сергей Гогинава,1973,72.9,190,,125,190,,505,M,SBD,Single-ply,Juniors,75
13,Dmitriy Nefedov,Дмитрий Нефедов,1973,73.2,165,,112.5,225,,502.5,M,SBD,Single-ply,Juniors,75
14,Oleg Movchan,Олег Мовчан,1975,72.75,172.5,,127.5,190,,490,M,SBD,Single-ply,Juniors,75
15,Mikhail Voloshin,Михаил Волошин,1973,72.25,160,,140,185,,485,M,SBD,Single-ply,Juniors,75
16,Vladimir Timkovich,Владимир Тимкович,1974,72.7,175,,120,180,,475,M,SBD,Single-ply,Juniors,75
17,Viktor Mosienko,Виктор Мосиенко,1974,72,140,,115,190,,445,M,SBD,Single-ply,Juniors,75
DQ,Oleg Antonov,Олег Антонов,1974,73.25,,,,,,,M,SBD,Single-ply,Juniors,75
DQ,Sergey Karyy,Сергей Карый,1973,75,,,,,,,M,SBD,Single-ply,Juniors,75
1,Eduard Dolina,Эдуард Долина,1973,82,270,,155,292.5,,717.5,M,SBD,Single-ply,Juniors,82.5
2,Sergey Romanenko,Сергей Романенко,1972,81.1,272.5,,165,272.5,,710,M,SBD,Single-ply,Juniors,82.5
3,Vadim Bratus,Вадим Братусь,1973,82,275,280,165,270,,710,M,SBD,Single-ply,Juniors,82.5
4,Gennadiy Zakladnoy,Геннадий Закладной,1976,80.8,245,,180,230,,655,M,SBD,Single-ply,Juniors,82.5
5,Sergey Savyak,Сергей Савяк,1976,81.1,260,,135,240,,635,M,SBD,Single-ply,Juniors,82.5
6,Sergey Teshu,Сергей Тешу,1976,77.4,235,,142.5,230,,607.5,M,SBD,Single-ply,Juniors,82.5
7,Mikhail Tevlovskiy,Михаил Тевловский,1975,80,200,,145,250,,595,M,SBD,Single-ply,Juniors,82.5
8,Aleksandr Serdyukov,Александр Сердюков,1975,81.9,205,,127.5,222.5,,555,M,SBD,Single-ply,Juniors,82.5
9,Sergey Nikitin,Сергей Никитин,1974,81.1,205,,132.5,215,,552.5,M,SBD,Single-ply,Juniors,82.5
10,Sergey Sytnik,Сергей Сытник,1973,77.7,205,,117.5,210,,532.5,M,SBD,Single-ply,Juniors,82.5
11,Aleksandr Shcherbina,Александр Щербина,1972,82.5,200,,105,200,,505,M,SBD,Single-ply,Juniors,82.5
12,Bogdan Belyanik,Богдан Беляник,1975,75.3,160,,115,185,,460,M,SBD,Single-ply,Juniors,82.5
13,Ruslan Savkov,Руслан Савков,1971,78.7,160,,115,185,,460,M,SBD,Single-ply,Juniors,82.5
1,Aleksey Solovev,Алексей Соловьев,1975,89.9,295,,192.5,272.5,,760,M,SBD,Single-ply,Juniors,90
2,Mikhail Solomin,Михаил Соломин,1971,89.2,297.5,,202.5,257.5,,757.5,M,SBD,Single-ply,Juniors,90
3,Ivan Triskiba,Иван Трискиба,1974,86.85,240,,160,280,,680,M,SBD,Single-ply,Juniors,90
4,Vyacheslav Prokhorov,Вячеслав Прохоров,1974,84.55,277.5,,130,270,,677.5,M,SBD,Single-ply,Juniors,90
5,Yuriy Kostenko,Юрий Костенко,1971,85,230,,157.5,272.5,,660,M,SBD,Single-ply,Juniors,90
6,Vitaliy Lyalyuk,Виталий Лялюк,1971,89.9,250,,157.5,252.5,,660,M,SBD,Single-ply,Juniors,90
7,Denis Cherednik,Денис Чередник,1975,84.5,250,,150,255,,655,M,SBD,Single-ply,Juniors,90
8,Vitaliy Ponomarenko,Виталий Пономаренко,1974,87.6,220,,175,225,,615,M,SBD,Single-ply,Juniors,90
9,Vladimir Kanibolotskiy,Владимир Каниболоцкий,1972,85.6,235,,125,225,,595,M,SBD,Single-ply,Juniors,90
10,Vyacheslav Dovgan,Вячеслав Довгань,1974,87.2,180,,140,220,,540,M,SBD,Single-ply,Juniors,90
11,Nikolay Galushko,Николай Галушко,1971,88.1,200,,130,210,,540,M,SBD,Single-ply,Juniors,90
12,Nikolay Marfula,Николай Марфула,1973,89.35,180,,130,230,,540,M,SBD,Single-ply,Juniors,90
13,Sergey Tkachenko,Сергей Ткаченко,1976,89.3,200,,150,225,,535,M,SBD,Single-ply,Juniors,90
14,Sergey Melnichenko,Сергей Мельниченко,1973,86,185,,120,215,,520,M,SBD,Single-ply,Juniors,90
15,Oleg Isaev,Олег Исаев,1974,86,205,,115,190,,510,M,SBD,Single-ply,Juniors,90
16,Aleksandr Shelkovyy,Александр Шелковый,1975,87.25,170,,115,200,,485,M,SBD,Single-ply,Juniors,90
1,Valeriy Voytsekhovskiy,Валерий Войцеховский,1972,97.3,315,,185,307.5,,807.5,M,SBD,Single-ply,Juniors,100
2,Oleg Korolev,Олег Королев,1971,98.5,300,,195,285,,780,M,SBD,Single-ply,Juniors,100
3,Vadim Patana,Вадим Патана,1976,97.65,255,,180,220,,655,M,SBD,Single-ply,Juniors,100
4,Aleksandr Onoprienko,Александр Оноприенко,1972,95.75,240,,147.5,245,,632.5,M,SBD,Single-ply,Juniors,100
5,Pavel Chernous,Павел Черноус,1970,100,210,,140,255,,605,M,SBD,Single-ply,Juniors,100
6,Vladimir Batyuk,Владимир Батюк,1974,95,210,,130,250,,590,M,SBD,Single-ply,Juniors,100
7,Vladimir Silnichenko,Владимир Сильниченко,1974,90.1,190,,125,230,,545,M,SBD,Single-ply,Juniors,100
8,Yaroslav Kuchma,Ярослав Кучма,1975,98.7,190,,130,215,,535,M,SBD,Single-ply,Juniors,100
9,Aleksandr Khomovskiy,Александр Хомовский,1975,93.2,185,,127.5,215,,527.5,M,SBD,Single-ply,Juniors,100
DQ,Oleg Pogorelov,Олег Погорелов,1972,99.4,,,,,,,M,SBD,Single-ply,Juniors,100
1,Mikhail Starov,Михаил Старов,1973,100.1,310,,180,300,,790,M,SBD,Single-ply,Juniors,110
