Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Sex,Event,Equipment,Division,WeightClassKg
1,Yana Petrenko,Яна Петренко,1981,34.4,62.5,35,75,172.5,F,SBD,Single-ply,Sub-Juniors,36
2,Zhanna Ivanova,Жанна Иванова,1984,25.8,50,30,60,140,F,SBD,Single-ply,Sub-Juniors,36
1,Ninel Legeshchits,Нинель Легещиць,1976,40,40,25,62.5,127.5,F,SBD,Single-ply,Sub-Juniors,40
1,Natasha Krasnoshchekova,Наташа Краснощекова,1980,43.3,80.5,37.5,95,212.5,F,SBD,Single-ply,Sub-Juniors,44
2,Olya Primakova,Оля Примакова,1981,43.65,72.5,55,80,207.5,F,SBD,Single-ply,Sub-Juniors,44
3,Sveta Strakhanova,Света Страханова,1979,41,50,25,60,135,F,SBD,Single-ply,Sub-Juniors,44
1,Zhenya Filippova,Женя Филиппова,1975,45,80,42.5,100,222.5,F,SBD,Single-ply,Sub-Juniors,48
2,Natasha Chernaya,Наташа Черная,1975,45.8,50,32.5,77.5,160,F,SBD,Single-ply,Sub-Juniors,48
3,Natasha Tanchinets,Наташа Танчинець,1976,47,45,25,75,145,F,SBD,Single-ply,Sub-Juniors,48
1,Inna Ivleva,Инна Ивлева,1976,51.2,107.5,50,130,287.5,F,SBD,Single-ply,Sub-Juniors,52
2,Lyuda Titova,Люда Титова,1978,51.2,97.5,50,117.5,265,F,SBD,Single-ply,Sub-Juniors,52
3,Lyusena Andresyuk,Люсьена Андресюк,1977,51.9,75,40,117.5,232.5,F,SBD,Single-ply,Sub-Juniors,52
4,Vika Vashchenok,Вика Ващенок,1977,50.5,92.5,40,90,215,F,SBD,Single-ply,Sub-Juniors,52
DQ,Yulya Bannikova,Юля Банникова,1977,51,75,35,,,F,SBD,Single-ply,Sub-Juniors,52
1,Natasha Ship,Наташа Шип,1976,54.3,115,55,110,280,F,SBD,Single-ply,Sub-Juniors,56
2,Inessa Irzhakovskaya,Инесса Иржаковская,1976,55.5,82.5,35,97.5,215,F,SBD,Single-ply,Sub-Juniors,56
1,Natasha Gudymenko,Наташа Гудыменко,1976,57.5,107.5,50,107.5,265,F,SBD,Single-ply,Sub-Juniors,60
2,Sveta Ivashchenko,Света Иващенко,1976,58.2,75,30,85,185,F,SBD,Single-ply,Sub-Juniors,60
1,Inna Andrievskaya,Инна Андриевская,1975,63.5,80,45,120,245,F,SBD,Single-ply,Sub-Juniors,67.5
DQ,Lena Pilipenko,Лена Пилипенко,1977,67.1,70,,,,F,SBD,Single-ply,Sub-Juniors,67.5
1,Ira Trifonova,Ира Трифонова,1976,71.7,115,55,125,295,F,SBD,Single-ply,Sub-Juniors,75
1,Marina Golovatyuk,Марина Головатюк,1977,75.5,105,35,115,255,F,SBD,Single-ply,Sub-Juniors,82.5
1,Sasha Starosta,Саша Староста,1981,44,80,42.5,90,212.5,M,SBD,Single-ply,Sub-Juniors,44
2,Vanya Gayfer,Ваня Гайфер,1978,44,67.5,45,100,212.5,M,SBD,Single-ply,Sub-Juniors,44
3,Grisha Sirenko,Гриша Сиренко,1980,39.2,75,42.5,87.5,205,M,SBD,Single-ply,Sub-Juniors,44
4,Vanya Kudelya,Ваня Куделя,1978,40.9,65,40,80,175,M,SBD,Single-ply,Sub-Juniors,44
1,Vanya Yalu,Ваня Ялу,1976,48,110,70,112.5,292.5,M,SBD,Single-ply,Sub-Juniors,48
2,Yura Brovdy,Юра Бровды,1979,47.7,90,42.5,120.5,252.5,M,SBD,Single-ply,Sub-Juniors,48
3,Andrey Kravetskiy,Андрей Кравецкий,1977,45.2,87.5,50,105,242.5,M,SBD,Single-ply,Sub-Juniors,48
1,Sergey Mekshun,Сергей Мекшун,1976,51.5,110,57.5,142.5,310,M,SBD,Single-ply,Sub-Juniors,52
2,Gena Minchev,Гена Минчев,1978,52,107.5,77.5,125,310,M,SBD,Single-ply,Sub-Juniors,52
3,Bogdan Zhigalyuk,Богдан Жигалюк,1980,49.9,95,50,110,255,M,SBD,Single-ply,Sub-Juniors,52
4,Yura Skok,Юра Скок,1977,51,90,60,100,250,M,SBD,Single-ply,Sub-Juniors,52
1,Dmitriy Medvedev,Дмитрий Медведев,1976,55.6,120,92.5,155,360,M,SBD,Single-ply,Sub-Juniors,56
2,Sergey Derevyanko,Сергей Деревянко,1977,55.8,112.5,77.5,155,345,M,SBD,Single-ply,Sub-Juniors,56
3,Oleg Gutsalo,Олег Гуцало,1978,55.45,115,80,140,335,M,SBD,Single-ply,Sub-Juniors,56
4,Mikhail Kut,Михаил Кут,1976,55.7,110,75,135,317.5,M,SBD,Single-ply,Sub-Juniors,56
5,Dmitriy Yanchukov,Дмитрий Янчуков,1977,54.2,110,60,125,295,M,SBD,Single-ply,Sub-Juniors,56
1,Stepan Ovcharenko,Степан Овчаренко,1976,58.5,180,110.5,215,505,M,SBD,Single-ply,Sub-Juniors,60
