Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Sex,Event,Equipment,Division,WeightClassKg
1,Petr Kravtsov,Петр Кравцов,1946,59.9,241,136,200,575,M,SBD,Single-ply,Masters 1,60
DD,Gennadiy Potepun ,Геннадий Потепун ,1939,56.6,120,72.5,135,,M,SBD,Single-ply,Masters 2,60
1,Mukhamed Didanov,Мухамед Диданов,1950,67.4,165,115,182.5,462.5,M,SBD,Single-ply,Masters 1,67.5
DD,Nikolay Zaguday,Николай Загудай,1962,67.3,202.5,127.5,230,,M,SBD,Single-ply,Masters 1,67.5
DD,Anatoliy Parkhomenko,Анатолий Пархоменко,1941,65,157.5,110,172.5,,M,SBD,Single-ply,Masters 2,67.5
1,Vitaliy Krivtsov,Виталий Кривцов,1951,74.9,250,150,220,620,M,SBD,Single-ply,Masters 1,75
2,Aleksandr Ermakov,Александр Ермаков,1953,75,212.5,120,227.5,547.5,M,SBD,Single-ply,Masters 1,75
3,Nikolay Ogly,Николай Оглы,1949,73.2,210,115,220,545,M,SBD,Single-ply,Masters 1,75
4,Vladimir Dmitriev,Владимир Дмитриев,1948,75,195,110,237.5,542.5,M,SBD,Single-ply,Masters 1,75
DQ,Aleksandr Nesterenko,Александр Нестеренко,1953,73.6,,,,,M,SBD,Single-ply,Masters 1,75
1,Vladimir Manchuk,Владимир Манчук,1940,72.5,165,120,175,460,M,SBD,Single-ply,Masters 2,75
1,Yaroslav Chala,Ярослав Чала,1948,82.4,237.5,182.5,240,660,M,SBD,Single-ply,Masters 1,82.5
2,Vladimir Leshchenko,Владимир Лещенко,1946,81.7,250,155,235,640,M,SBD,Single-ply,Masters 1,82.5
3,Anatoliy Kalina,Анатолий Калина,1948,82.2,220,140,240,600,M,SBD,Single-ply,Masters 1,82.5
4,Anatoliy Vecherovskiy,Анатолий Вечеровский,1951,81.4,190,115,227.5,532.5,M,SBD,Single-ply,Masters 1,82.5
5,Nikolay Palamarchuk,Николай Паламарчук,1949,78.8,190,120,200,510,M,SBD,Single-ply,Masters 1,82.5
6,Vladimir Pikus,Владимир Пикус,1948,80.8,185,110,170,472.5,M,SBD,Single-ply,Masters 1,82.5
1,Vladimir Burlakov,Владимир Бурлаков,1927,80.3,160,120,210,490,M,SBD,Single-ply,Masters 2,82.5
2,Gennadiy Saprygin,Геннадий Сапрыгин,1938,82.5,165,112.5,170,445,M,SBD,Single-ply,Masters 2,82.5
1,Evgeniy Kuksin,Евгений Куксин,1950,83.3,182.5,125,225,532.5,M,SBD,Single-ply,Masters 1,90
2,Ivan Tomas,Иван Томас,1945,86.6,195,115,205,515,M,SBD,Single-ply,Masters 1,90
3,Sergey Lykov,Сергей Лыков,1950,87.7,210,60,225,495,M,SBD,Single-ply,Masters 1,90
4,Vladimir Balakirev,Владимир Балакирев,1948,86.7,170,120,180,470,M,SBD,Single-ply,Masters 1,90
5,Vasiliy Bilenskiy,Василий Биленский,1944,84,145,90,195,440,M,SBD,Single-ply,Masters 1,90
DQ,Vladimir Krasnobaev,Владимир Краснобаев,1951,90,,,,,M,SBD,Single-ply,Masters 1,90
1,Ivan Stefanishin,Иван Стефанишин,1940,86.8,210,115,220,545,M,SBD,Single-ply,Masters 2,90
2,Vitaliy Svirnenko,Виталий Свирненко,1927,84.8,100,80,140,320,M,SBD,Single-ply,Masters 2,90
1,Yuriy Simonenko,Юрий Симоненко,1949,95.5,275,175,260,710,M,SBD,Single-ply,Masters 1,100
2,Sergey Bryzgunov,Сергей Брызгунов,1948,99.2,260,170,265,695,M,SBD,Single-ply,Masters 1,100
3,Vyacheslav Tupkalov,Вячеслав Тупкалов,1951,98.2,225,145,275,645,M,SBD,Single-ply,Masters 1,100
4,Anatoliy Podshivalov,Анатолий Подшивалов,1947,99.8,190,120,200,510,M,SBD,Single-ply,Masters 1,100
DQ,Vladimir Lebedev,Владимир Лебедев,1950,99.2,265,,,,M,SBD,Single-ply,Masters 1,100
1,Yuriy Lobankov,Юрий Лобанков,1937,93.8,205,120,230,555,M,SBD,Single-ply,Masters 2,100
DQ,Nikolay Yudin,Николай Юдин,1938,99.2,240,170,,,M,SBD,Single-ply,Masters 2,100
1,Aleksey Rokochiy,Алексей Рокочий,1951,108.9,260,180,300,740,M,SBD,Single-ply,Masters 1,110
2,Yuriy Lutovinov,Юрий Лутовинов,1952,103,225,130,230,585,M,SBD,Single-ply,Masters 1,110
1,Mikhail Kurbatskiy,Михаил Курбатский,1951,111,210,145,230,585,M,SBD,Single-ply,Masters 1,125
DD,Pavel Tabuashvili ,Павел Табуашвили ,1947,117.5,230,175,260,,M,SBD,Single-ply,Masters 1,125
1,Yuriy Kalashnik,Юрий Калашник,1940,119.1,280,170,265,715,M,SBD,Single-ply,Masters 2,125
1,Valeriy Golovchenko,Валерий Головченко,1952,150.7,255,175,312.5,742.5,M,SBD,Single-ply,Masters 1,125+
1,Anatoliy Eremenko,Анатолий Еременко,1939,128,222.5,162.5,227.5,612.5,M,SBD,Single-ply,Masters 2,125+
DQ,Viktor Efremov,Виктор Ефремов,1940,126.4,215,,,,M,SBD,Single-ply,Masters 2,125+
