Place,Name,CyrillicName,BirthYear,BodyweightKg,Best3SquatKg,Squat4Kg,Best3BenchKg,Best3DeadliftKg,Deadlift4Kg,TotalKg,Sex,Event,Equipment,Division,WeightClassKg
1,Olga Primakova,Ольга Примакова,1981,33.6,50,,35,60,,145,F,SBD,Single-ply,Juniors,44
1,Viktoriya Shapoval,Виктория Шаповал,1973,46.5,85,,50,107.5,,242.5,F,SBD,Single-ply,Juniors,48
2,Olga Kornienko,Ольга Корниенко,1970,48,77.5,,42.5,100,,232.5,F,SBD,Single-ply,Juniors,48
3,Elena Starovoytova,Елена Старовойтова,1969,47.6,70,,37.5,122.5,,230,F,SBD,Single-ply,Juniors,48
DQ,Oksana Tubtin,Оксана Тубтин,1977,48,,,,,,,F,SBD,Single-ply,Juniors,48
1,Lyudmila Sinkevich,Людмила Синькевич,1970,51,110,,55.5,142.5,,307.5,F,SBD,Single-ply,Juniors,52
2,Ekaterina Pirgat,Екатерина Пиргат,1974,50.8,80,,40,110,,230,F,SBD,Single-ply,Juniors,52
3,Natalya Gudymenko,Наталья Гудыменко,1978,51.8,82.5,,40,97.5,,220,F,SBD,Single-ply,Juniors,52
1,Valentina Ovsienko,Валентина Овсиенко,1974,53.9,90,,47.5,115,,252.5,F,SBD,Single-ply,Juniors,56
2,Svetlana Gontsova,Светлана Гонцова,1974,53.7,70,,42.5,120,,232.5,F,SBD,Single-ply,Juniors,56
3,Tatyana Bulakh,Татьяна Булах,1969,55.55,82.5,,52.5,90,,225,F,SBD,Single-ply,Juniors,56
4,Yuliya Gritsun,Юлия Грицун,1972,53.75,80,,37.5,80,,197.5,F,SBD,Single-ply,Juniors,56
DQ,Elena Ishchenko,Елена Ищенко,1976,55.2,,,,,,,F,SBD,Single-ply,Juniors,56
1,Yaroslava Furduy,Ярослава Фурдуй,1971,59.9,130,,67.5,172.5,,370,F,SBD,Single-ply,Juniors,60
2,Natalya Klychkova,Наталья Клычкова,1972,59.2,100,,45,130,,270,F,SBD,Single-ply,Juniors,60
3,Svetlana Krasnoshchek,Светлана Краснощек,1974,59.5,72.5,,42.5,107.5,,222.5,F,SBD,Single-ply,Juniors,60
4,Irina Malikova,Ирина Маликова,1972,59,72.5,,37.5,95,,205,F,SBD,Single-ply,Juniors,60
1,Elena Sukhoruk,Елена Сухорук,1972,65.5,150,,70,180,,400,F,SBD,Single-ply,Juniors,67.5
2,Kseniya Trofimtsova,Ксения Трофимцова,1969,64,107.5,,65,135,,307.5,F,SBD,Single-ply,Juniors,67.5
3,Zhanna Zavadskaya,Жанна Завадская,1972,65.3,115,,50,142.5,,307.5,F,SBD,Single-ply,Juniors,67.5
4,Anna Turanskaya,Анна Туранская,1972,66.2,102.5,,62.5,140,,305,F,SBD,Single-ply,Juniors,67.5
5,Viktoriya Boyko,Виктория Бойко,1969,63,110,,57.5,135,,302.5,F,SBD,Single-ply,Juniors,67.5
6,Natalya Chervyakova,Наталья Червякова,1972,63,100,,50,110,,260,F,SBD,Single-ply,Juniors,67.5
7,Zhanna Gorbacheva,Жанна Горбачева,1975,63.3,105,,40,115,,260,F,SBD,Single-ply,Juniors,67.5
8,Nadezhda Prikhodko,Надежда Приходько,1973,64,95,,47.5,115,,257.5,F,SBD,Single-ply,Juniors,67.5
DQ,Inna Savyachenko,Инна Савяченко,1970,64.5,97.5,,62.5,,,,F,SBD,Single-ply,Juniors,67.5
1,Svetlana Konobritskaya,Светлана Конобрицкая,1971,71.6,107.5,,55,130,,292.5,F,SBD,Single-ply,Juniors,75
2,Larisa Zhukova,Лариса Жукова,1972,70,97.5,,60,120,,277.5,F,SBD,Single-ply,Juniors,75
3,Natalya Poliy,Наталья Полий,1976,69.5,102.5,,47.5,117.5,,257.5,F,SBD,Single-ply,Juniors,75
DQ,Anna Ganenko,Анна Ганенко,1975,74.4,,,,,,,F,SBD,Single-ply,Juniors,75
1,Inna Orobets,Инна Оробец,1971,77.5,160,,92.5,150,,402.5,F,SBD,Single-ply,Juniors,82.5
2,Elena Chinnova,Елена Чиннова,1970,75.6,102.5,,45,140,,287.5,F,SBD,Single-ply,Juniors,82.5
1,Viktoriya Spivakova,Виктория Спивакова,1971,95.6,110,,40,135,,285,F,SBD,Single-ply,Juniors, 90+
1,Nikolay Shkurinskiy,Николай Шкуринский,1976,51.4,135,,77.5,170,,382.5,M,SBD,Single-ply,Juniors,52
2,Roman Galitskiy,Роман Галицкий,1975,51.2,120,,67.5,165,,352.5,M,SBD,Single-ply,Juniors,52
3,Aleksandr Gromov,Александр Громов,1975,51.9,112.5,,82.5,145,,340,M,SBD,Single-ply,Juniors,52
4,Aleksey Ptashenchuk,Алексей Пташенчук,1976,50,130,,65,120,,315,M,SBD,Single-ply,Juniors,52
5,Sergey Mekshun,Сергей Мекшун,1978,41,75,,37.5,82.5,,195,M,SBD,Single-ply,Juniors,52
1,Stepan Ovcharenko,Степан Овчаренко,1976,56,155,,85,173,,412.5,M,SBD,Single-ply,Juniors,56
2,Evgeniy Tayts,Евгений Тайц,1974,53.2,125,,92.5,147.5,,365,M,SBD,Single-ply,Juniors,56
3,Mikhail Buletsa,Михаил Булеца,1977,54.7,115,,72.5,120,,307.5,M,SBD,Single-ply,Juniors,56
