Place,Sex,Name,Event,Division,WeightClassKg,Equipment,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,BirthYear
1,M,Shawn Warren,SBD,JR,66,Single-ply,59.8,142.9,90.7,161,394.6,1997
1,M,Mason Martel,SBD,JR,74,Single-ply,67,181.4,113.4,181.4,476.2,1996
1,M,Draven Collins,SBD,JR,83,Single-ply,74.1,190.5,136.1,176.9,503.5,1997
1,M,Colt Grow,SBD,JR,93,Single-ply,87.7,181.4,142.9,226.8,551.1,1997
1,M,Jathan Cutrer,SBD,JR,105,Single-ply,97.9,199.6,154.2,235.9,589.7,1995
1,M,Chance Barney,SBD,JR,120,Single-ply,105.6,204.1,136.1,249.5,589.7,1995
1,F,Lindsey Saacks,SBD,JR,84+,Single-ply,86.5,113.4,68,124.7,306.1,1998
1,F,Heather Callejas,SBD,JR,84+,Single-ply,95.6,129.3,68,136.1,333.4,1997
